CASE_NUMBER,STATUS,APPLICATION_SUBMITTED_DATE,COMPLETED_DATE,CANCELLATION_DATE,BROKER_ID,BROKER_FIRM_ID,LOAN_AMOUNT,PROPERTY_CATEGORY
2361,COMPLETED,2021-07-09 08:53:45.000000000,2021-10-28 22:59:00.000000000,,91c69f9a-4eb4-47df-b4c9-1bd1785cdac6,8fd0c57a17f6cf47f182312a25ad858f6b0dbc80dbbdae35738b3bf0ea21840e,195598.500000,STANDARD
2363,COMPLETED,2021-07-06 09:24:37.000000000,2022-01-17 22:59:00.000000000,,54560769-20b2-4585-ac2f-2d046ae2eacf,06ec5035557395356d5bb658a7577c7c0608bd5b180b017d780df7b29b8d10b0,158100.250000,STANDARD
2374,COMPLETED,2021-07-14 14:26:25.000000000,2021-10-28 22:59:00.000000000,,10d8556a-c439-42bc-ac05-a0bc5736939b,a13f188e1954b07ddc5129ae5b8974118b1831fcfe647299b938d31939b655ad,351251.250000,STANDARD
2378,CANCELLED,2021-07-15 10:00:20.000000000,,,dfca4826-46f4-440e-914a-372f13a8fbdc,617fc15fcff0e4016962c9c25ed218f986e369e07ab379fa4cb2bb5b180ac52b,325803.130000,HMO
2379,CANCELLED,2021-07-08 15:48:48.000000000,,2022-01-11 11:58:12.000000000,9335c545-a45e-4813-910f-704ba9a3b8bf,f8b0c4288d79f568362881143eb05a48610f7fb2ea1b1902936ab96bc73167c3,399709.000000,HMO
2381,COMPLETED,2021-07-09 17:21:17.000000000,2022-01-18 22:59:00.000000000,,365c283d-7e63-4b25-96ab-ab32f0114ba0,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,116471.250000,STANDARD
2383,COMPLETED,2021-07-08 12:19:38.000000000,2021-09-30 22:59:00.000000000,,f2ffd192-039a-4a24-8943-9517400451ec,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,326303.750000,STANDARD
2388,COMPLETED,2021-07-08 12:10:55.000000000,2021-09-23 22:59:00.000000000,,69b0af92-1c38-4536-aeec-819e64482ae6,e9fb71c7f61a397cb5827797f3e5175fb27f8339ffca39515f8a0fe4e029c92e,175096.000000,STANDARD
2396,COMPLETED,2021-07-07 13:56:27.000000000,2021-10-22 22:59:00.000000000,,6681300b-f464-402b-b85b-777032662396,19a84671aaaf4a6f9ff49f4ccbe6bc093b71ef749850a320c67d72983ad52991,117043.630000,STANDARD
2402,COMPLETED,2021-07-27 10:28:38.000000000,2022-02-02 22:59:00.000000000,,50cf255b-45df-44df-9370-5a7d2d7c3662,5750a963da6ccd494233272812e2173472e15d123595293ceaa7e9a3039e3d38,354056.520000,HMO
2403,CANCELLED,2021-07-07 16:51:13.000000000,,2021-12-08 14:56:57.000000000,9c523f44-64bf-44fa-9699-a5d5318db39c,8ea7b7ec5b8f3995e1dae4aabdbeadb33d211e682213f476c504428d3f42a0e8,428624.500000,STANDARD
2404,CANCELLED,2021-07-07 16:46:32.000000000,,2021-12-07 16:02:16.000000000,fd7b2fca-5c01-4423-b82a-4581a9d8128d,81a346a855be30c5084b41c6fd2478e833ee0f569ca4d06d01b8eb1252890502,209830.000000,STANDARD
2405,CANCELLED,2021-07-07 16:58:38.000000000,,2021-12-07 16:03:16.000000000,fd7b2fca-5c01-4423-b82a-4581a9d8128d,81a346a855be30c5084b41c6fd2478e833ee0f569ca4d06d01b8eb1252890502,161110.000000,STANDARD
2406,CANCELLED,2021-07-07 17:02:01.000000000,,2021-12-08 14:55:52.000000000,9c523f44-64bf-44fa-9699-a5d5318db39c,8ea7b7ec5b8f3995e1dae4aabdbeadb33d211e682213f476c504428d3f42a0e8,535976.000000,STANDARD
2407,CANCELLED,2021-07-07 17:23:41.000000000,,2021-12-07 15:56:14.000000000,fd7b2fca-5c01-4423-b82a-4581a9d8128d,81a346a855be30c5084b41c6fd2478e833ee0f569ca4d06d01b8eb1252890502,153116.750000,STANDARD
2408,CANCELLED,2021-07-07 18:34:54.000000000,,2021-12-07 15:57:13.000000000,fd7b2fca-5c01-4423-b82a-4581a9d8128d,81a346a855be30c5084b41c6fd2478e833ee0f569ca4d06d01b8eb1252890502,137442.500000,STANDARD
2410,CANCELLED,2021-07-07 18:46:17.000000000,,2021-12-07 15:56:14.000000000,fd7b2fca-5c01-4423-b82a-4581a9d8128d,81a346a855be30c5084b41c6fd2478e833ee0f569ca4d06d01b8eb1252890502,137442.500000,STANDARD
2411,COMPLETED,2021-07-20 17:47:26.000000000,2022-02-04 22:59:00.000000000,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,191507.000000,STANDARD
2412,COMPLETED,2021-07-21 12:56:51.000000000,2022-01-28 22:59:00.000000000,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,206575.000000,STANDARD
2413,COMPLETED,2021-07-21 10:25:17.000000000,2022-01-31 22:59:00.000000000,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,190548.000000,STANDARD
2414,CANCELLED,2021-07-21 12:49:21.000000000,,2021-11-08 11:51:00.000000000,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,190548.000000,STANDARD
2415,COMPLETED,2021-07-21 10:36:14.000000000,2022-01-31 22:59:00.000000000,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,190548.000000,STANDARD
2416,COMPLETED,2021-07-09 16:20:59.000000000,2021-09-28 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,174640.500000,STANDARD
2420,IN_PROGRESS,2021-07-15 13:35:25.000000000,,,6fb967b9-3f2e-4ae7-9251-5a1ea8e671be,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,385578.000000,STANDARD
2424,IN_PROGRESS,2021-08-12 12:29:28.000000000,,,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,140866.250000,STANDARD
2429,IN_PROGRESS,2021-07-12 14:38:47.000000000,,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,565548.000000,HMO
2434,CANCELLED,2021-07-09 10:43:56.000000000,,2021-10-18 12:58:11.000000000,54560769-20b2-4585-ac2f-2d046ae2eacf,06ec5035557395356d5bb658a7577c7c0608bd5b180b017d780df7b29b8d10b0,93115.000000,STANDARD
2435,CANCELLED,2021-07-09 10:47:17.000000000,,2021-10-18 12:57:09.000000000,54560769-20b2-4585-ac2f-2d046ae2eacf,06ec5035557395356d5bb658a7577c7c0608bd5b180b017d780df7b29b8d10b0,106795.000000,STANDARD
2437,CANCELLED,2021-08-10 11:31:53.000000000,,2021-09-27 15:17:50.000000000,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,636032.250000,STANDARD
2438,COMPLETED,2021-07-21 10:08:39.000000000,2021-11-24 22:59:00.000000000,,d7c6709e-06be-43ae-9019-76376fd040e9,e1879732706cf022f59b62b7c4ec256195c4fdfddb33642d4b15c9a6aa1f03e9,211267.000000,HMO
2439,CANCELLED,2021-07-09 16:01:49.000000000,,,a7edc14f-0958-4224-971b-12143eb49508,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,348380.000000,STANDARD
2440,COMPLETED,2021-07-16 07:54:38.000000000,2021-11-05 22:59:00.000000000,,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,137442.500000,STANDARD
2441,CANCELLED,2021-07-09 16:02:26.000000000,,,a7edc14f-0958-4224-971b-12143eb49508,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,267583.000000,STANDARD
2442,CANCELLED,2021-07-09 16:02:50.000000000,,,a7edc14f-0958-4224-971b-12143eb49508,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,348380.000000,STANDARD
2447,COMPLETED,2021-07-12 09:43:43.000000000,2021-08-05 22:59:00.000000000,,f2ffd192-039a-4a24-8943-9517400451ec,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,459421.500000,STANDARD
2457,CANCELLED,2021-07-13 16:09:54.000000000,,2021-10-20 14:32:18.000000000,6fb967b9-3f2e-4ae7-9251-5a1ea8e671be,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,323432.500000,STANDARD
2460,CANCELLED,2021-07-12 16:12:20.000000000,,2021-09-13 13:08:44.000000000,ec52ab5d-c870-4780-aaff-3a2a86f79327,62c3469283456895de63efec631f1267903e67fd6434407598965bdd4f114804,290702.750000,STANDARD
2461,CANCELLED,2021-07-14 11:15:10.000000000,,2021-12-10 16:07:06.000000000,c32102a4-305a-4ff6-aff0-ae4ebc673bdf,eba12ce3d99c8cc42d5f156e0de80554342189c9eb1fca81d5a2f78339911592,401306.000000,STANDARD
2462,COMPLETED,2021-07-14 11:09:40.000000000,2021-10-22 22:59:00.000000000,,c32102a4-305a-4ff6-aff0-ae4ebc673bdf,eba12ce3d99c8cc42d5f156e0de80554342189c9eb1fca81d5a2f78339911592,446705.500000,STANDARD
2463,CANCELLED,2021-07-15 15:22:34.000000000,,2021-08-26 14:12:22.000000000,fd7b2fca-5c01-4423-b82a-4581a9d8128d,81a346a855be30c5084b41c6fd2478e833ee0f569ca4d06d01b8eb1252890502,200868.000000,STANDARD
2469,CANCELLED,2021-07-13 14:29:22.000000000,,,1c368fac-5959-4555-8e7f-985e6844d5c4,5de39d27f0c1626556eed3299b729b960f7811e7381058adecb4ede69eb71900,87320.250000,STANDARD
2477,COMPLETED,2021-07-13 16:12:43.000000000,2021-10-19 22:59:00.000000000,,29138dc0-bafe-479e-8206-fc9b2eaeee61,6702c41cb46280436bd51ba27456f70b961a95f62fde55f89ec971a5e604e00f,110070.250000,STANDARD
2485,CANCELLED,2021-07-14 12:16:37.000000000,,2021-08-17 12:48:21.000000000,97074843-0854-4e71-895b-ea76a14bfc77,ec0952bff6e76d4488dc6f0001b05681d5fb12c0e6ab96693ce2ca0300d10c10,137995.000000,STANDARD
2491,COMPLETED,2021-07-27 11:21:21.000000000,2021-11-19 22:59:00.000000000,,b1a7d9e0-6d3b-4f31-80b3-da8884b9aa87,1221bf801f26715febdf7117bc38b502a0601b18af90289a33104b570ca5b9a9,264710.750000,STANDARD
2493,COMPLETED,2021-07-14 15:44:58.000000000,2022-01-24 22:59:00.000000000,,9c523f44-64bf-44fa-9699-a5d5318db39c,8ea7b7ec5b8f3995e1dae4aabdbeadb33d211e682213f476c504428d3f42a0e8,548406.000000,HMO
2495,CANCELLED,2021-07-14 15:51:19.000000000,,2021-09-01 10:01:04.000000000,65fe6f3e-f2e4-434e-80d2-1fc5be92c9e3,617f19e1a831532f31da8b95e36001b41629e536de3e825ae540689c05ef99d5,150245.500000,STANDARD
2498,COMPLETED,2021-07-14 15:49:32.000000000,2022-01-24 22:59:00.000000000,,9c523f44-64bf-44fa-9699-a5d5318db39c,8ea7b7ec5b8f3995e1dae4aabdbeadb33d211e682213f476c504428d3f42a0e8,493505.000000,HMO
2514,CANCELLED,2021-07-20 09:11:19.000000000,,2021-09-29 08:48:24.000000000,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,767081.750000,HMO
2524,CANCELLED,2021-07-19 10:37:39.000000000,,,4507a377-3fdd-4214-a085-3429c0591258,31f7b7a2313ff75870e756b74f34d1de2eb0e3848adc939819b9663f02dac1b6,106645.500000,STANDARD
2529,CANCELLED,2021-07-15 15:24:32.000000000,,2021-07-16 07:03:46.000000000,0ee539fe-1ccc-4c00-8bd6-8aff71f4ae5a,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,147268.250000,STANDARD
2531,CANCELLED,2021-07-15 15:50:44.000000000,,2021-07-16 07:03:47.000000000,0ee539fe-1ccc-4c00-8bd6-8aff71f4ae5a,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,78720.750000,STANDARD
2534,IN_PROGRESS,2021-07-15 20:05:58.000000000,,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,582500.000000,HMO
2536,CANCELLED,2021-07-16 08:11:27.000000000,,,0ee539fe-1ccc-4c00-8bd6-8aff71f4ae5a,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,147268.250000,STANDARD
2537,CANCELLED,2021-07-16 08:57:14.000000000,,,dfca4826-46f4-440e-914a-372f13a8fbdc,617fc15fcff0e4016962c9c25ed218f986e369e07ab379fa4cb2bb5b180ac52b,230902.750000,HMO
2538,CANCELLED,2021-07-16 08:30:27.000000000,,,0ee539fe-1ccc-4c00-8bd6-8aff71f4ae5a,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,78720.750000,STANDARD
2539,CANCELLED,2021-07-16 08:49:03.000000000,,2021-12-07 15:49:09.000000000,0ee539fe-1ccc-4c00-8bd6-8aff71f4ae5a,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,480789.000000,MUFB
2540,CANCELLED,2021-07-16 08:57:59.000000000,,2021-11-15 14:36:18.000000000,0ee539fe-1ccc-4c00-8bd6-8aff71f4ae5a,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,181041.500000,STANDARD
2541,CANCELLED,2021-07-16 09:10:30.000000000,,2021-11-15 14:37:26.000000000,0ee539fe-1ccc-4c00-8bd6-8aff71f4ae5a,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,78720.750000,STANDARD
2547,COMPLETED,2021-07-16 11:38:07.000000000,2021-11-02 22:59:00.000000000,,a7edc14f-0958-4224-971b-12143eb49508,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,571805.250000,HMO
2550,CANCELLED,2021-07-19 10:21:55.000000000,,2021-08-19 14:20:49.000000000,1c368fac-5959-4555-8e7f-985e6844d5c4,5de39d27f0c1626556eed3299b729b960f7811e7381058adecb4ede69eb71900,354504.000000,HMO
2554,CANCELLED,2021-07-16 13:04:47.000000000,,,fed16c76-e89d-4e25-81a3-a2e4a54228b3,e56bfe59d595d8903d0ab04fa76da03af9bf9e9375f3d599715c324e0ecdf231,792508.000000,MUFB
2559,CANCELLED,2021-07-20 11:55:26.000000000,,,77a9bbff-3ce1-4b66-b011-c207ab300bfb,900ac51176e508f55836c162983507a694a70c1c04a750b2f3dda04298f246be,230902.750000,STANDARD
2560,CANCELLED,2021-07-16 14:44:38.000000000,,2022-01-07 14:31:15.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,129801.000000,STANDARD
2562,IN_PROGRESS,2021-07-16 15:01:16.000000000,,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,175479.000000,STANDARD
2563,CANCELLED,2021-07-16 15:12:00.000000000,,2022-02-08 15:29:42.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,175479.000000,STANDARD
2564,CANCELLED,2021-07-16 15:30:28.000000000,,2021-10-18 14:59:13.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,116200.750000,STANDARD
2565,COMPLETED,2021-07-16 15:37:32.000000000,2022-01-26 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,97701.500000,STANDARD
2567,CANCELLED,2021-07-16 15:43:32.000000000,,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,116200.750000,STANDARD
2568,COMPLETED,2021-07-16 15:49:36.000000000,2021-12-21 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,123000.880000,STANDARD
2569,COMPLETED,2021-07-16 15:55:27.000000000,2021-12-21 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,152602.500000,STANDARD
2570,COMPLETED,2021-07-16 16:14:32.000000000,2022-01-19 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,109999.380000,STANDARD
2572,COMPLETED,2021-07-16 16:20:04.000000000,2021-12-21 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,109999.380000,STANDARD
2573,COMPLETED,2021-07-16 16:25:38.000000000,2021-12-21 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,159401.630000,STANDARD
2586,COMPLETED,2021-07-29 09:06:22.000000000,2021-12-03 22:59:00.000000000,,a0d33114-cdfa-466d-b40d-77eb4caff684,c85afe420b138dc3294653718cda2ebfc1db2bb12dc3b2710a29e3cd99f972d8,161370.000000,STANDARD
2587,COMPLETED,2021-07-20 11:24:35.000000000,2021-12-23 22:59:00.000000000,,dfca4826-46f4-440e-914a-372f13a8fbdc,617fc15fcff0e4016962c9c25ed218f986e369e07ab379fa4cb2bb5b180ac52b,272203.500000,HMO
2591,COMPLETED,2021-07-28 10:32:34.000000000,2021-11-23 22:59:00.000000000,,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,398604.630000,HMO
2593,COMPLETED,2021-07-22 14:29:28.000000000,2021-10-22 22:59:00.000000000,,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,792508.000000,STANDARD
2599,COMPLETED,2021-07-20 10:02:06.000000000,2021-11-17 22:59:00.000000000,,f31d7ef3-9ea7-4c9f-a2ba-4304b68f2a46,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,152602.500000,STANDARD
2602,COMPLETED,2021-07-20 09:24:22.000000000,2022-01-28 22:59:00.000000000,,6d6ccc39-930d-4d9c-9ee8-b11d445571b3,01168d889e8fa660046aedb26d94d8f83e0730a079b0351341a2bba063d1c181,183913.750000,STANDARD
2605,COMPLETED,2021-07-20 10:23:38.000000000,2021-12-09 22:59:00.000000000,,f31d7ef3-9ea7-4c9f-a2ba-4304b68f2a46,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,152602.500000,STANDARD
2606,COMPLETED,2021-07-20 10:41:55.000000000,2022-01-24 22:59:00.000000000,,f31d7ef3-9ea7-4c9f-a2ba-4304b68f2a46,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,152602.500000,STANDARD
2608,COMPLETED,2021-08-06 11:46:37.000000000,2022-01-11 22:59:00.000000000,,77a9bbff-3ce1-4b66-b011-c207ab300bfb,900ac51176e508f55836c162983507a694a70c1c04a750b2f3dda04298f246be,351251.250000,STANDARD
2609,IN_PROGRESS,2021-07-20 10:56:38.000000000,,,f31d7ef3-9ea7-4c9f-a2ba-4304b68f2a46,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,152602.500000,STANDARD
2612,IN_PROGRESS,2021-07-20 12:31:11.000000000,,,f31d7ef3-9ea7-4c9f-a2ba-4304b68f2a46,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,152602.500000,STANDARD
2613,COMPLETED,2021-07-20 13:01:23.000000000,2022-01-14 22:59:00.000000000,,f31d7ef3-9ea7-4c9f-a2ba-4304b68f2a46,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,152602.500000,STANDARD
2614,COMPLETED,2021-07-20 13:41:46.000000000,2021-09-17 22:59:00.000000000,,6d6ccc39-930d-4d9c-9ee8-b11d445571b3,01168d889e8fa660046aedb26d94d8f83e0730a079b0351341a2bba063d1c181,145988.250000,STANDARD
2621,COMPLETED,2021-08-09 11:32:32.000000000,2022-01-19 22:59:00.000000000,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,113911.250000,STANDARD
2624,COMPLETED,2021-07-28 14:24:08.000000000,2021-12-01 22:59:00.000000000,,b06234ec-406c-44b2-819e-1afac38445dd,876ce6087dac8313cb9dfdaedb049f1f8a5c9a1e5f90ac211dc1b50624147959,122281.750000,STANDARD
2628,CANCELLED,2021-08-05 16:41:46.000000000,,2021-08-16 09:52:16.000000000,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,267583.000000,STANDARD
2639,CANCELLED,2021-07-22 10:08:36.000000000,,2021-09-17 10:17:57.000000000,77a9bbff-3ce1-4b66-b011-c207ab300bfb,900ac51176e508f55836c162983507a694a70c1c04a750b2f3dda04298f246be,129801.000000,STANDARD
2644,COMPLETED,2021-07-23 13:48:19.000000000,2021-12-09 22:59:00.000000000,,3f775eda-31cf-4cd4-924e-69a8fcdba3be,6af94dc737ba44ed3252fe6e08861b682c1c378ccbf05e939101bf00a8e08f31,700309.000000,HMO
2645,IN_PROGRESS,2021-08-23 10:27:19.000000000,,,88d5e814-448e-49fd-92d0-ef4c8358ac1a,47ff614a72d611ebca0ac1f8e1a0b4e8a56fffdae607edfadb79caba62e1fd8f,181191.000000,STANDARD
2646,CANCELLED,2021-07-23 13:49:36.000000000,,2021-09-30 07:13:13.000000000,3f775eda-31cf-4cd4-924e-69a8fcdba3be,6af94dc737ba44ed3252fe6e08861b682c1c378ccbf05e939101bf00a8e08f31,700309.000000,HMO
2647,COMPLETED,2021-07-22 11:45:34.000000000,2021-11-26 22:59:00.000000000,,6d6ccc39-930d-4d9c-9ee8-b11d445571b3,01168d889e8fa660046aedb26d94d8f83e0730a079b0351341a2bba063d1c181,311182.000000,STANDARD
2648,COMPLETED,2021-07-23 10:02:16.000000000,2021-11-05 22:59:00.000000000,,dfca4826-46f4-440e-914a-372f13a8fbdc,617fc15fcff0e4016962c9c25ed218f986e369e07ab379fa4cb2bb5b180ac52b,235802.750000,HMO
2653,COMPLETED,2021-07-23 14:48:12.000000000,2022-02-07 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,143654.000000,STANDARD
2654,IN_PROGRESS,2021-07-22 15:02:47.000000000,,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,582500.000000,HMO
2655,COMPLETED,2021-07-23 09:26:48.000000000,2021-11-01 22:59:00.000000000,,0b600cc9-4733-450a-86c0-9af94bb67838,4947e7fdad85c6d124abb3c10f0d6008af114ef15759bfdc30745621e4591c4e,264710.750000,STANDARD
2656,COMPLETED,2021-07-23 09:53:51.000000000,2021-11-01 22:59:00.000000000,,0b600cc9-4733-450a-86c0-9af94bb67838,4947e7fdad85c6d124abb3c10f0d6008af114ef15759bfdc30745621e4591c4e,236786.000000,STANDARD
2657,COMPLETED,2021-07-23 10:02:51.000000000,2021-10-29 22:59:00.000000000,,0b600cc9-4733-450a-86c0-9af94bb67838,4947e7fdad85c6d124abb3c10f0d6008af114ef15759bfdc30745621e4591c4e,208861.250000,STANDARD
2658,IN_PROGRESS,2021-07-22 15:39:47.000000000,,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,582500.000000,HMO
2659,CANCELLED,2021-07-23 09:54:28.000000000,,2021-12-07 15:50:10.000000000,29138dc0-bafe-479e-8206-fc9b2eaeee61,6702c41cb46280436bd51ba27456f70b961a95f62fde55f89ec971a5e604e00f,155105.380000,HMO
2661,IN_PROGRESS,2021-07-22 18:10:30.000000000,,,d0f112ca-863c-4446-b748-941291335deb,03cac00b48d53fdd63a4e338890611c710d5ed09b05afe458af9fcf1d119c777,477968.000000,STANDARD
2663,CANCELLED,2021-07-26 13:19:29.000000000,,,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,184466.250000,STANDARD
2664,CANCELLED,2021-07-23 17:22:13.000000000,,,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,184466.250000,STANDARD
2665,CANCELLED,2021-07-23 17:21:06.000000000,,,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,184466.250000,STANDARD
2668,CANCELLED,2021-07-23 17:20:36.000000000,,,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,948083.000000,MUFB
2669,IN_PROGRESS,2021-07-23 10:37:59.000000000,,,e68b50cb-8606-407a-9eaa-59d97cb90d2b,9fe47f18cb5a0102f9c1b12ede6f2a45dc1d59dca74ffac036797bcffd74e7a5,122320.750000,STANDARD
2671,COMPLETED,2021-07-23 10:53:09.000000000,2021-12-02 22:59:00.000000000,,e68b50cb-8606-407a-9eaa-59d97cb90d2b,9fe47f18cb5a0102f9c1b12ede6f2a45dc1d59dca74ffac036797bcffd74e7a5,106645.500000,STANDARD
2672,COMPLETED,2021-07-23 11:06:52.000000000,2021-12-23 22:59:00.000000000,,e68b50cb-8606-407a-9eaa-59d97cb90d2b,9fe47f18cb5a0102f9c1b12ede6f2a45dc1d59dca74ffac036797bcffd74e7a5,94396.000000,STANDARD
2676,CANCELLED,2021-08-27 14:59:19.000000000,,,64d4d241-d637-475c-8553-f4c662e2f0b0,4b9399797b1e14f16797d6b183f7e88dfaf9d87ce53c2fe00a2ffcda725fd5dc,177973.000000,STANDARD
2677,IN_PROGRESS,2021-08-27 15:25:17.000000000,,,64d4d241-d637-475c-8553-f4c662e2f0b0,4b9399797b1e14f16797d6b183f7e88dfaf9d87ce53c2fe00a2ffcda725fd5dc,177206.000000,STANDARD
2678,IN_PROGRESS,2021-08-27 16:13:11.000000000,,,64d4d241-d637-475c-8553-f4c662e2f0b0,4b9399797b1e14f16797d6b183f7e88dfaf9d87ce53c2fe00a2ffcda725fd5dc,144575.000000,STANDARD
